Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.11,0.452217,0.841672,0.084857,0.421805,1.315551,-0.108634,0.451033,0.788563,0.133638,0.464594,0.667908,0.151409,0.471437,0.594667,0.163016,0.04296,0.071778,0.134105,0.073862,0.099468,0.134849,0.120592,0.059915,0.131505,-0.065575,0.055949,0.135962,0.053718,0.310875,0.172984,0.048212,0.404148,0.177285,0.051743,0.328342,0.174955,0.061199,0.200134,0.166711,0.247533,0.547277,0.170207,0.347644,0.567116,0.168523,0.244559,0.548632,0.170896,0.150397,0.526082,0.171203
12,0.12,0.452215,0.8417,0.084862,0.421805,1.315564,-0.108666,0.451018,0.788592,0.133644,0.464593,0.667941,0.151427,0.471445,0.594702,0.163041,0.042957,0.07183,0.134203,0.073865,0.099517,0.134867,0.120588,0.059944,0.131675,-0.065582,0.056029,0.136066,0.053824,0.310818,0.17301,0.048198,0.404086,0.177269,0.051752,0.328283,0.174908,0.061523,0.200086,0.166852,0.24752,0.547276,0.170169,0.347628,0.56713,0.168506,0.244544,0.548634,0.170847,0.150387,0.526064,0.171152
13,0.13,0.452209,0.841733,0.084825,0.421794,1.315567,-0.108775,0.451008,0.788633,0.133615,0.46459,0.667985,0.151418,0.471444,0.594748,0.163044,0.042947,0.071762,0.134136,0.073855,0.099449,0.134791,0.120578,0.059874,0.131617,-0.065592,0.055964,0.136002,0.053823,0.310833,0.17302,0.048204,0.4041,0.177317,0.051737,0.328297,0.174911,0.061527,0.200103,0.166831,0.247523,0.547326,0.170166,0.347629,0.567188,0.168497,0.244547,0.548689,0.170827,0.150394,0.526099,0.171175
14,0.14,0.452212,0.8417,0.084754,0.421828,1.315494,-0.108951,0.451028,0.788613,0.133559,0.464578,0.667965,0.151384,0.471415,0.594729,0.163024,0.042946,0.07179,0.134159,0.073853,0.099477,0.134884,0.120578,0.059912,0.131619,-0.065593,0.055982,0.135974,0.053837,0.310851,0.173013,0.048202,0.404119,0.17728,0.051762,0.328315,0.174911,0.061547,0.20012,0.166846,0.247522,0.547297,0.170144,0.347627,0.567164,0.168485,0.244546,0.548656,0.170819,0.150392,0.52607,0.171129
15,0.15,0.452214,0.841746,0.084724,0.421843,1.315497,-0.109087,0.450996,0.788666,0.133535,0.464581,0.668027,0.151394,0.471437,0.594796,0.163054,0.042955,0.071796,0.134163,0.073851,0.099497,0.134813,0.120592,0.059942,0.131671,-0.065577,0.055949,0.136005,0.053852,0.3108,0.172926,0.048238,0.40407,0.177181,0.05177,0.328265,0.174813,0.061547,0.200067,0.166784,0.247503,0.547307,0.170149,0.347611,0.567163,0.16848,0.244527,0.548671,0.170809,0.150373,0.526087,0.171159
16,0.16,0.452221,0.841751,0.084686,0.421862,1.315471,-0.109203,0.451008,0.78868,0.133507,0.464582,0.668042,0.151385,0.471431,0.594812,0.163055,0.042967,0.071833,0.134219,0.073857,0.09954,0.134869,0.120607,0.059993,0.131758,-0.065563,0.055966,0.136029,0.053829,0.310851,0.172996,0.048187,0.404118,0.177272,0.051759,0.328315,0.174902,0.061541,0.200121,0.166815,0.247516,0.547307,0.170114,0.347618,0.567189,0.168454,0.244539,0.548667,0.170784,0.150389,0.526065,0.171105
17,0.17,0.452224,0.841716,0.084586,0.421902,1.315302,-0.109636,0.450994,0.788677,0.133442,0.464574,0.668053,0.151407,0.471427,0.594832,0.16313,0.042964,0.07183,0.134205,0.073865,0.099524,0.134878,0.120599,0.059961,0.131721,-0.065572,0.056006,0.136014,0.053831,0.310831,0.172969,0.048193,0.404098,0.177221,0.051749,0.328295,0.174859,0.061551,0.200099,0.166827,0.247504,0.547326,0.170124,0.34761,0.56719,0.16846,0.244527,0.548687,0.170792,0.150374,0.526101,0.171119
18,0.18,0.452213,0.841765,0.084648,0.421875,1.315459,-0.109307,0.450988,0.788699,0.133475,0.464567,0.668064,0.151371,0.47142,0.594837,0.163053,0.042956,0.071795,0.134167,0.073864,0.099481,0.134866,0.120587,0.059914,0.131616,-0.065582,0.05599,0.136018,0.053824,0.310838,0.172981,0.048177,0.404104,0.177247,0.051745,0.328301,0.174878,0.061551,0.200108,0.166818,0.247508,0.547341,0.17012,0.347613,0.567209,0.168439,0.244533,0.548699,0.170799,0.150378,0.526116,0.171122
19,0.19,0.45223,0.841723,0.084508,0.421952,1.315242,-0.109885,0.451003,0.788703,0.133384,0.464563,0.668083,0.151391,0.471404,0.594865,0.16314,0.042937,0.07179,0.134157,0.073845,0.099476,0.134833,0.120568,0.059904,0.131628,-0.065603,0.055991,0.13601,0.053807,0.310807,0.172968,0.048169,0.404075,0.177228,0.051734,0.328271,0.174868,0.061518,0.200076,0.166809,0.247503,0.547333,0.1701,0.347603,0.567226,0.168414,0.244528,0.548688,0.170785,0.150378,0.526085,0.1711
20,0.2,0.452216,0.841767,0.08457,0.421932,1.315393,-0.109561,0.450969,0.788717,0.133414,0.464554,0.668091,0.151359,0.471409,0.594868,0.163069,0.042956,0.07181,0.134165,0.073865,0.099495,0.134839,0.120586,0.059921,0.131638,-0.065584,0.056015,0.136019,0.053794,0.31082,0.172966,0.048158,0.404086,0.177242,0.051706,0.328283,0.174855,0.061517,0.200089,0.1668,0.247489,0.54735,0.170117,0.347593,0.567225,0.168461,0.244513,0.54871,0.170789,0.150361,0.526115,0.171102
21,0.21,0.452219,0.841776,0.08456,0.421937,1.315396,-0.109584,0.450968,0.788727,0.133405,0.464556,0.668101,0.151354,0.471414,0.594879,0.163066,0.042957,0.071839,0.134189,0.073872,0.099516,0.134868,0.120583,0.059934,0.131624,-0.065586,0.056066,0.136074,0.053814,0.310825,0.172969,0.048168,0.404093,0.177195,0.051756,0.32829,0.174878,0.061517,0.200091,0.166835,0.247493,0.547343,0.170123,0.347596,0.567223,0.168477,0.244516,0.548706,0.170784,0.150367,0.5261,0.171109
22,0.22,0.452231,0.841729,0.08442,0.422012,1.315217,-0.110057,0.450971,0.788715,0.133302,0.464546,0.6681,0.151336,0.471396,0.594885,0.1631,0.042955,0.071828,0.134196,0.073868,0.099508,0.13487,0.120582,0.059928,0.131627,-0.065586,0.056047,0.136091,0.053814,0.310832,0.172951,0.048167,0.4041,0.177199,0.051752,0.328296,0.174861,0.061522,0.200101,0.166794,0.247477,0.547345,0.170099,0.347579,0.56723,0.168422,0.244502,0.548703,0.170777,0.150351,0.526103,0.171097
23,0.23,0.452235,0.841728,0.084388,0.422041,1.315195,-0.110144,0.450969,0.788719,0.133276,0.464541,0.668106,0.151324,0.471389,0.594893,0.163097,0.04293,0.071817,0.134141,0.073827,0.099519,0.134702,0.120567,0.059951,0.131692,-0.065603,0.055982,0.136028,0.053801,0.310848,0.172957,0.048149,0.404116,0.177176,0.051738,0.328312,0.174861,0.061517,0.200114,0.166836,0.247483,0.547331,0.170094,0.347587,0.567209,0.168452,0.244506,0.548696,0.170748,0.150357,0.526087,0.171084
24,0.24,0.452209,0.841775,0.084469,0.421991,1.315353,-0.109789,0.450925,0.788734,0.133322,0.464528,0.668115,0.151305,0.471393,0.594897,0.163037,0.042939,0.071784,0.134125,0.07384,0.099478,0.13478,0.120573,0.059912,0.131646,-0.065598,0.055962,0.13595,0.053776,0.310804,0.172913,0.04811,0.404073,0.177098,0.05172,0.32827,0.17482,0.061497,0.20007,0.166822,0.247467,0.547329,0.170078,0.347569,0.567217,0.168422,0.244491,0.548688,0.170751,0.150342,0.526082,0.171062
25,0.25,0.452243,0.841728,0.084304,0.422111,1.315139,-0.110374,0.450945,0.788731,0.133203,0.464531,0.668126,0.151295,0.471387,0.594918,0.163092,0.04296,0.071874,0.134198,0.073869,0.099557,0.134985,0.120591,0.059997,0.131616,-0.065579,0.056069,0.135993,0.053774,0.310807,0.172912,0.048111,0.404075,0.177132,0.05172,0.328272,0.174826,0.061492,0.200075,0.166778,0.247461,0.547332,0.170075,0.347565,0.567208,0.168396,0.244485,0.548694,0.170738,0.150334,0.526093,0.171089
26,0.26,0.452254,0.841737,0.084295,0.422138,1.315151,-0.110377,0.45096,0.78874,0.133194,0.464534,0.668133,0.151283,0.471382,0.594923,0.163078,0.04295,0.071822,0.134172,0.073864,0.099503,0.134844,0.120578,0.059924,0.131606,-0.065591,0.05604,0.136067,0.053778,0.310833,0.172936,0.048139,0.404101,0.177176,0.051703,0.328297,0.17483,0.061493,0.200101,0.166802,0.247457,0.547358,0.170074,0.347557,0.56725,0.168421,0.244479,0.548721,0.170734,0.150333,0.526103,0.171068
27,0.27,0.45226,0.841732,0.084258,0.422173,1.315126,-0.110469,0.450947,0.788739,0.133161,0.464533,0.668136,0.151267,0.471388,0.594929,0.163073,0.042947,0.071834,0.13418,0.073859,0.099518,0.134787,0.120577,0.059934,0.131666,-0.065593,0.05605,0.136086,0.053757,0.310806,0.17291,0.048105,0.404076,0.177081,0.05171,0.328272,0.174818,0.061456,0.200069,0.166829,0.247466,0.547376,0.170084,0.347565,0.567276,0.168414,0.244489,0.548736,0.170753,0.150344,0.526116,0.171087
28,0.28,0.452248,0.841753,0.084254,0.422208,1.31511,-0.110567,0.45095,0.788772,0.133171,0.464501,0.668168,0.151296,0.471335,0.594961,0.163115,0.042975,0.071858,0.134195,0.073877,0.099549,0.134976,0.120609,0.059999,0.131636,-0.06556,0.056026,0.135974,0.053766,0.310808,0.1729,0.048096,0.404077,0.177089,0.051714,0.328274,0.174811,0.061489,0.200074,0.1668,0.247455,0.547348,0.170061,0.347552,0.567256,0.168386,0.24448,0.5487,0.170754,0.150332,0.526089,0.171042
29,0.29,0.452264,0.841736,0.084208,0.422239,1.315089,-0.110625,0.450962,0.788756,0.133126,0.464511,0.668153,0.151255,0.471344,0.594945,0.163076,0.042931,0.071773,0.134107,0.073834,0.099466,0.134737,0.120564,0.059896,0.131608,-0.065606,0.055958,0.135977,0.053756,0.31081,0.172915,0.048087,0.404078,0.177106,0.051704,0.328275,0.174827,0.061477,0.200076,0.166813,0.247452,0.547347,0.170051,0.347558,0.567211,0.168367,0.244477,0.548707,0.170724,0.150322,0.526122,0.171063
30,0.3,0.452267,0.841748,0.0842,0.422248,1.315103,-0.110631,0.450952,0.788767,0.133116,0.464514,0.668165,0.151247,0.471354,0.594959,0.163069,0.042947,0.071815,0.134155,0.073843,0.099515,0.134817,0.120584,0.05996,0.131665,-0.065586,0.055971,0.135982,0.053881,0.310705,0.172938,0.048405,0.403975,0.177354,0.051715,0.328168,0.174739,0.061521,0.199972,0.166721,0.247441,0.547372,0.170071,0.347544,0.567245,0.168395,0.244464,0.548733,0.170737,0.150313,0.526136,0.171083
31,0.31,0.452272,0.841742,0.084178,0.422275,1.315069,-0.110724,0.450954,0.788768,0.133101,0.464512,0.668168,0.151251,0.471349,0.594964,0.163083,0.042908,0.07176,0.134061,0.073812,0.099452,0.134687,0.120541,0.059881,0.131557,-0.065629,0.055948,0.13594,0.053767,0.310845,0.172919,0.048137,0.404114,0.177154,0.051698,0.328309,0.174817,0.061465,0.200111,0.166787,0.247445,0.547357,0.170053,0.347545,0.567247,0.168382,0.244468,0.548719,0.170718,0.15032,0.526106,0.171059
32,0.32,0.452296,0.841727,0.08415,0.422331,1.315045,-0.110779,0.450966,0.788755,0.133075,0.464524,0.668157,0.151233,0.471362,0.594953,0.163071,0.04296,0.071836,0.134067,0.073861,0.099526,0.134874,0.120592,0.059983,0.131437,-0.065575,0.055999,0.135892,0.053775,0.310838,0.172921,0.048132,0.404107,0.177129,0.05171,0.328303,0.174819,0.061484,0.200104,0.166814,0.247459,0.547365,0.170051,0.347562,0.567244,0.168383,0.24448,0.548733,0.170695,0.150334,0.526118,0.171074
33,0.33,0.452303,0.841726,0.084151,0.422336,1.315039,-0.110789,0.450963,0.788753,0.133075,0.464534,0.668157,0.151238,0.471379,0.594954,0.163078,0.04292,0.071767,0.134089,0.073815,0.099467,0.134804,0.120557,0.059918,0.131587,-0.065613,0.055917,0.135875,0.053773,0.310839,0.172926,0.04813,0.404107,0.17717,0.051711,0.328304,0.174834,0.061477,0.200107,0.166774,0.247463,0.54736,0.170056,0.347566,0.567233,0.168369,0.244486,0.548721,0.170723,0.150335,0.526125,0.171077
