Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
167,1.67,0.453162,0.841792,0.085045,0.425393,1.315848,-0.10841,0.45117,0.788619,0.13373,0.464652,0.66797,0.151607,0.471432,0.59473,0.163253,0.043026,0.071925,0.133994,0.073945,0.099599,0.13469,0.120649,0.060018,0.131328,-0.065516,0.056159,0.135964,0.053637,0.310698,0.172796,0.047967,0.40396,0.177129,0.051559,0.32816,0.17471,0.061386,0.199974,0.166549,0.247447,0.547216,0.17018,0.347558,0.567051,0.168503,0.244472,0.548575,0.170858,0.15031,0.526022,0.171179
168,1.68,0.453133,0.841792,0.085041,0.425401,1.315854,-0.108405,0.451144,0.788619,0.133726,0.464608,0.667968,0.151599,0.471377,0.594727,0.163242,0.043053,0.071973,0.134058,0.073967,0.099651,0.134785,0.120679,0.060079,0.131421,-0.065487,0.056189,0.135968,0.053627,0.310718,0.172805,0.047959,0.40398,0.17715,0.051531,0.328179,0.174705,0.061393,0.199995,0.166561,0.247435,0.547214,0.170173,0.347547,0.567048,0.168505,0.24446,0.548574,0.17085,0.150298,0.526021,0.171163
169,1.69,0.453127,0.841771,0.085017,0.425423,1.315838,-0.10842,0.451147,0.788599,0.133703,0.464591,0.667945,0.151572,0.471347,0.594702,0.163213,0.043039,0.071932,0.134018,0.07396,0.099601,0.134762,0.120661,0.060022,0.131335,-0.065504,0.056171,0.135957,0.053614,0.310703,0.17279,0.047938,0.403963,0.177157,0.051515,0.328164,0.174692,0.061391,0.199982,0.166522,0.247421,0.547184,0.170163,0.347537,0.567004,0.168511,0.244447,0.548543,0.170844,0.150281,0.526006,0.171133
170,1.7,0.45313,0.84177,0.085053,0.425421,1.315873,-0.108295,0.451133,0.788586,0.133726,0.464599,0.667932,0.151577,0.471368,0.594689,0.163206,0.043045,0.071946,0.134033,0.07397,0.099612,0.134764,0.120666,0.060026,0.131348,-0.0655,0.056199,0.135987,0.053601,0.310691,0.172793,0.047926,0.40395,0.177195,0.051488,0.328151,0.174688,0.06139,0.199973,0.166495,0.247424,0.547216,0.170181,0.347534,0.567056,0.168518,0.244449,0.548572,0.170867,0.150287,0.526019,0.171157
171,1.71,0.453133,0.841745,0.085077,0.425446,1.315864,-0.108235,0.45113,0.788558,0.133746,0.464594,0.667902,0.151587,0.471363,0.594657,0.163211,0.043053,0.071949,0.134021,0.073976,0.099617,0.134737,0.120674,0.060032,0.13135,-0.065492,0.056197,0.135976,0.053603,0.310694,0.172784,0.047931,0.403954,0.177163,0.051491,0.328154,0.174676,0.061386,0.199974,0.166513,0.247417,0.547207,0.170181,0.347527,0.567051,0.168507,0.244444,0.548557,0.170884,0.15028,0.526012,0.171152
172,1.72,0.453263,0.841696,0.085102,0.425495,1.31581,-0.108211,0.451227,0.788502,0.133763,0.464761,0.667856,0.151615,0.47157,0.594615,0.163242,0.043058,0.071923,0.133984,0.073984,0.099589,0.134672,0.120679,0.059996,0.131328,-0.065488,0.056183,0.135951,0.053682,0.310582,0.17283,0.048134,0.403844,0.177317,0.05152,0.328042,0.174664,0.061393,0.199859,0.16651,0.247423,0.547185,0.170193,0.347539,0.566998,0.168536,0.244449,0.548543,0.170877,0.150281,0.526015,0.171168
173,1.73,0.453175,0.84173,0.085099,0.425509,1.315845,-0.108226,0.45114,0.788539,0.133763,0.464633,0.667888,0.151615,0.471418,0.594646,0.163243,0.043056,0.071925,0.133984,0.073979,0.099594,0.134737,0.120678,0.060013,0.131307,-0.065488,0.05617,0.135909,0.053686,0.310559,0.172829,0.048154,0.403821,0.177342,0.051515,0.328019,0.174654,0.061389,0.199837,0.166489,0.247418,0.547175,0.170171,0.347529,0.567017,0.16854,0.24444,0.548543,0.170818,0.150285,0.525965,0.171156
174,1.74,0.453159,0.841727,0.085102,0.42553,1.315862,-0.10818,0.45112,0.788533,0.133761,0.464603,0.667879,0.151603,0.471382,0.594635,0.163224,0.043066,0.071943,0.134007,0.073993,0.099609,0.134672,0.120686,0.060011,0.131343,-0.06548,0.056209,0.136007,0.053609,0.310655,0.172784,0.047952,0.403915,0.17718,0.051499,0.328115,0.174678,0.061375,0.199935,0.166494,0.247412,0.547139,0.170179,0.347528,0.566958,0.16856,0.244434,0.548511,0.170816,0.150274,0.525947,0.171163
175,1.75,0.453168,0.841742,0.085158,0.425559,1.315871,-0.108141,0.45111,0.788547,0.133816,0.464608,0.667897,0.151666,0.471395,0.594654,0.163292,0.043078,0.071959,0.134017,0.074019,0.09961,0.134653,0.12069,0.059988,0.131317,-0.065474,0.056278,0.136082,0.05361,0.310652,0.172774,0.047937,0.403912,0.177153,0.051511,0.328112,0.174678,0.061383,0.199932,0.166491,0.247433,0.547144,0.170174,0.347544,0.566986,0.168541,0.244454,0.548516,0.170809,0.1503,0.52593,0.171171
176,1.76,0.453289,0.841667,0.085236,0.425563,1.315798,-0.108042,0.451216,0.788465,0.133886,0.464775,0.667822,0.151737,0.471599,0.594582,0.163362,0.043083,0.071948,0.134027,0.074017,0.099605,0.134709,0.120698,0.059999,0.131332,-0.065467,0.056241,0.136039,0.05361,0.310626,0.172778,0.047939,0.403886,0.177164,0.051509,0.328086,0.174681,0.061382,0.199906,0.166488,0.247434,0.54713,0.17019,0.347552,0.566935,0.168551,0.244457,0.548499,0.17084,0.150292,0.525957,0.17118
177,1.77,0.453189,0.841656,0.085235,0.42553,1.315829,-0.107949,0.451131,0.788448,0.133879,0.464648,0.667796,0.1517,0.471446,0.594551,0.163309,0.043075,0.071929,0.134,0.074017,0.099577,0.134702,0.120687,0.059962,0.131273,-0.065478,0.056248,0.136025,0.053615,0.310606,0.172769,0.04794,0.403865,0.177167,0.051514,0.328066,0.174675,0.061392,0.199888,0.166464,0.247453,0.547152,0.170225,0.347574,0.566946,0.168594,0.244475,0.548524,0.170864,0.15031,0.525986,0.171218
178,1.78,0.453292,0.841618,0.085315,0.425514,1.315788,-0.107858,0.451218,0.788404,0.133952,0.4648,0.667759,0.151777,0.471638,0.594519,0.163387,0.043073,0.071912,0.133988,0.074004,0.099573,0.134674,0.120691,0.059971,0.131319,-0.065475,0.056192,0.135972,0.05362,0.310626,0.172799,0.047948,0.403884,0.177212,0.051513,0.328086,0.174701,0.061398,0.199908,0.166483,0.247467,0.547138,0.170238,0.347585,0.566941,0.168605,0.244492,0.548499,0.170912,0.150323,0.525975,0.171198
179,1.79,0.453334,0.84159,0.08535,0.42554,1.315755,-0.107834,0.451255,0.788377,0.133987,0.464848,0.667734,0.151817,0.471692,0.594494,0.163429,0.043091,0.071949,0.134035,0.074031,0.099598,0.134765,0.120702,0.059988,0.13129,-0.065462,0.056263,0.136051,0.053633,0.310597,0.172774,0.047968,0.403855,0.177197,0.051533,0.328057,0.174683,0.061398,0.199879,0.166441,0.247475,0.54713,0.170238,0.347594,0.566928,0.168586,0.2445,0.548489,0.170921,0.150329,0.525974,0.171208
180,1.8,0.453345,0.841577,0.085323,0.425579,1.315747,-0.107851,0.451257,0.788362,0.133958,0.46485,0.667718,0.151787,0.471693,0.594479,0.163398,0.043085,0.071958,0.134063,0.074021,0.099614,0.134724,0.120702,0.06,0.131433,-0.065467,0.05626,0.136033,0.053632,0.310606,0.172781,0.047965,0.403864,0.177207,0.051533,0.328065,0.174692,0.0614,0.199889,0.166444,0.247475,0.547118,0.170227,0.347595,0.566918,0.168591,0.244499,0.548483,0.170888,0.150332,0.525953,0.171203
181,1.81,0.453337,0.841526,0.085318,0.425544,1.315717,-0.107803,0.451235,0.788303,0.133944,0.464855,0.667662,0.151764,0.471715,0.594423,0.163369,0.043085,0.071937,0.134008,0.074011,0.099603,0.134739,0.120706,0.060014,0.131341,-0.065461,0.056194,0.135945,0.053645,0.310594,0.172785,0.04799,0.403852,0.177215,0.051537,0.328053,0.174686,0.061408,0.199875,0.166454,0.247474,0.547124,0.170256,0.347594,0.566922,0.168614,0.244499,0.548487,0.170923,0.150331,0.525962,0.171232
182,1.82,0.453358,0.841528,0.085377,0.425532,1.31571,-0.10776,0.451262,0.788307,0.134005,0.464887,0.667667,0.151828,0.47175,0.594428,0.163435,0.043074,0.071922,0.133974,0.074018,0.099566,0.134711,0.120684,0.059952,0.131216,-0.06548,0.056246,0.135996,0.053653,0.310589,0.172782,0.047975,0.403847,0.177188,0.051569,0.328049,0.174706,0.061415,0.199871,0.166452,0.247486,0.547127,0.170254,0.347606,0.566923,0.168614,0.244512,0.548485,0.170938,0.15034,0.525974,0.17121
183,1.83,0.453456,0.841477,0.085431,0.425518,1.315653,-0.107705,0.451208,0.788232,0.134026,0.465053,0.667623,0.15189,0.472046,0.594399,0.163513,0.043093,0.071956,0.134014,0.074037,0.099602,0.134701,0.120704,0.059982,0.131283,-0.065461,0.056283,0.136057,0.053661,0.310589,0.172793,0.047997,0.403848,0.177203,0.051555,0.328049,0.174695,0.06143,0.19987,0.166481,0.247496,0.547122,0.17025,0.347615,0.566921,0.168624,0.24452,0.548485,0.17092,0.150351,0.525962,0.171207
184,1.84,0.453474,0.841462,0.085403,0.425522,1.315629,-0.107752,0.451199,0.788215,0.133995,0.465081,0.667612,0.15187,0.472094,0.594391,0.163498,0.043087,0.07195,0.134025,0.074016,0.099611,0.13481,0.120707,0.060023,0.131334,-0.06546,0.056217,0.135932,0.053664,0.310597,0.172804,0.047996,0.403855,0.177215,0.051564,0.328056,0.174712,0.061432,0.199878,0.166485,0.247494,0.547123,0.170257,0.347614,0.566918,0.16863,0.244516,0.548496,0.170895,0.150351,0.525957,0.171245
185,1.85,0.453476,0.841442,0.085435,0.425501,1.315599,-0.107744,0.451215,0.788199,0.134031,0.46509,0.667596,0.15191,0.472099,0.594375,0.163541,0.043073,0.07193,0.134007,0.074005,0.099589,0.134682,0.12069,0.059984,0.131335,-0.065476,0.056217,0.136003,0.053669,0.310602,0.172805,0.048004,0.403861,0.177213,0.051579,0.328062,0.174722,0.061424,0.199883,0.166481,0.247504,0.547135,0.170276,0.347621,0.566948,0.168664,0.244527,0.548502,0.17093,0.150364,0.525955,0.171236
186,1.86,0.453479,0.841452,0.085445,0.425469,1.315603,-0.107741,0.451239,0.788212,0.134045,0.465102,0.667606,0.151922,0.472105,0.594385,0.163552,0.043079,0.071962,0.134045,0.074012,0.09962,0.134757,0.120696,0.060018,0.13135,-0.06547,0.056249,0.136028,0.053657,0.310635,0.172825,0.047993,0.403894,0.177243,0.051556,0.328095,0.174732,0.061423,0.199917,0.1665,0.247503,0.547131,0.17028,0.347619,0.566947,0.168676,0.244527,0.548492,0.17095,0.150362,0.525953,0.171215
187,1.87,0.453481,0.841453,0.085459,0.425442,1.315596,-0.107744,0.451252,0.788215,0.134063,0.465115,0.66761,0.151942,0.472117,0.594389,0.163574,0.043069,0.071931,0.134014,0.074,0.09959,0.134734,0.120686,0.059992,0.131328,-0.06548,0.05621,0.135979,0.053669,0.310609,0.172818,0.048,0.403868,0.177224,0.051568,0.328069,0.174725,0.061438,0.199891,0.166506,0.247499,0.547131,0.170261,0.347615,0.566944,0.168623,0.244524,0.548491,0.170935,0.150358,0.525957,0.171224
188,1.88,0.453472,0.841441,0.085463,0.425415,1.31559,-0.107722,0.451252,0.788203,0.134067,0.465111,0.667597,0.15194,0.472111,0.594375,0.163569,0.043071,0.071929,0.133992,0.073995,0.099598,0.134706,0.120693,0.06001,0.131349,-0.065474,0.056181,0.135923,0.053671,0.310598,0.172828,0.048013,0.403857,0.17723,0.051581,0.328058,0.174743,0.061419,0.199878,0.166513,0.247505,0.547126,0.170263,0.347624,0.566923,0.168625,0.244528,0.548493,0.170916,0.150361,0.525961,0.171248
189,1.89,0.453466,0.841443,0.085473,0.425359,1.315583,-0.107727,0.451254,0.788206,0.134079,0.465122,0.667601,0.151955,0.472128,0.59438,0.163586,0.043063,0.071918,0.133991,0.073993,0.099579,0.134677,0.120681,0.059978,0.131328,-0.065485,0.056197,0.135969,0.053668,0.31061,0.172838,0.048007,0.403869,0.177255,0.051574,0.32807,0.174752,0.061422,0.199891,0.166507,0.247513,0.547121,0.170271,0.347631,0.566931,0.168653,0.244536,0.548489,0.170923,0.150372,0.525945,0.171236
190,1.9,0.453455,0.841439,0.085488,0.425306,1.315578,-0.107708,0.451261,0.788204,0.134097,0.465124,0.667598,0.151968,0.472128,0.594376,0.163597,0.043062,0.071921,0.134001,0.073994,0.09958,0.134734,0.120679,0.059982,0.131306,-0.065487,0.056202,0.135964,0.053667,0.310601,0.172839,0.04801,0.40386,0.177262,0.051568,0.328061,0.174748,0.061423,0.199883,0.166506,0.247516,0.547108,0.170268,0.347636,0.566902,0.168622,0.244539,0.548476,0.170922,0.150372,0.525946,0.17126
191,1.91,0.453355,0.84147,0.085472,0.425259,1.315614,-0.10772,0.451155,0.788235,0.13408,0.465005,0.667627,0.15195,0.472,0.594405,0.163578,0.043065,0.071928,0.134015,0.073989,0.099595,0.134763,0.120687,0.06001,0.131358,-0.06548,0.05618,0.135924,0.053674,0.310613,0.172864,0.048013,0.403873,0.177262,0.051581,0.328073,0.174775,0.061429,0.199893,0.166557,0.247528,0.547117,0.170279,0.347647,0.566919,0.168646,0.244553,0.548478,0.170952,0.150384,0.525954,0.171238
192,1.92,0.453422,0.841418,0.085481,0.425201,1.31557,-0.107675,0.451251,0.788181,0.134087,0.465116,0.667573,0.151945,0.472121,0.59435,0.163566,0.043064,0.071915,0.134017,0.073993,0.099576,0.134755,0.120683,0.059983,0.131346,-0.065484,0.056185,0.13595,0.05368,0.310619,0.172887,0.048009,0.403878,0.177291,0.051597,0.328079,0.17481,0.061435,0.1999,0.166559,0.24753,0.54712,0.170285,0.347649,0.566917,0.16864,0.244554,0.548484,0.17095,0.150386,0.525958,0.171266
193,1.93,0.453336,0.841453,0.085476,0.425126,1.315618,-0.107649,0.451158,0.788212,0.134078,0.465026,0.667603,0.151929,0.472033,0.59438,0.163546,0.043055,0.071893,0.134023,0.073984,0.099554,0.134785,0.120674,0.059965,0.131317,-0.065492,0.05616,0.135967,0.053675,0.310619,0.17291,0.04802,0.403877,0.177353,0.051573,0.328079,0.17482,0.061433,0.199902,0.166557,0.24754,0.54711,0.170297,0.347663,0.566891,0.168647,0.244566,0.548469,0.170977,0.150392,0.525968,0.171265
194,1.94,0.453311,0.841452,0.085478,0.425074,1.315621,-0.107631,0.45114,0.788209,0.134079,0.46501,0.6676,0.151925,0.472019,0.594376,0.163539,0.043066,0.07191,0.134037,0.073992,0.099575,0.134727,0.120686,0.059982,0.131358,-0.06548,0.056172,0.136026,0.053697,0.310603,0.172902,0.048028,0.403861,0.177327,0.051609,0.328063,0.174824,0.061454,0.199886,0.166554,0.247544,0.5471,0.170294,0.347666,0.566886,0.16864,0.244568,0.548467,0.170952,0.150398,0.525948,0.171291
195,1.95,0.453309,0.841423,0.085473,0.425026,1.315574,-0.107676,0.451159,0.788187,0.134082,0.465023,0.667578,0.151934,0.472029,0.594355,0.163553,0.043068,0.071937,0.134093,0.074003,0.099592,0.13481,0.120683,0.059989,0.131365,-0.065482,0.05623,0.136104,0.053707,0.310606,0.172931,0.048045,0.403865,0.177345,0.051615,0.328066,0.174847,0.061461,0.199887,0.166601,0.247549,0.547108,0.170299,0.347669,0.566904,0.168641,0.244575,0.548468,0.170977,0.150404,0.525953,0.171279
196,1.96,0.45329,0.841481,0.085513,0.424937,1.315632,-0.107624,0.451193,0.788249,0.13413,0.465023,0.667634,0.151968,0.472008,0.594408,0.16358,0.043072,0.071942,0.134081,0.074004,0.099601,0.134791,0.120689,0.060001,0.131386,-0.065476,0.056225,0.136066,0.053709,0.310604,0.172953,0.048054,0.403864,0.17736,0.051618,0.328065,0.174866,0.061455,0.199885,0.166632,0.247551,0.547108,0.170323,0.347674,0.566888,0.168635,0.244577,0.548471,0.170996,0.150404,0.525966,0.171339
197,1.97,0.45327,0.841434,0.085482,0.42488,1.315602,-0.107608,0.451189,0.788199,0.134095,0.465014,0.667581,0.151919,0.471997,0.594354,0.163523,0.043046,0.07189,0.134062,0.073969,0.099557,0.134816,0.120669,0.059971,0.131452,-0.065501,0.056142,0.135919,0.053712,0.310616,0.172965,0.048069,0.403877,0.177372,0.051605,0.328077,0.174861,0.061464,0.199896,0.166663,0.247554,0.547115,0.170317,0.347675,0.566901,0.168647,0.244578,0.548479,0.170983,0.150407,0.525964,0.171323
198,1.98,0.453194,0.841431,0.085616,0.424494,1.315714,-0.107146,0.451173,0.788165,0.134198,0.465048,0.66754,0.151931,0.472062,0.594307,0.163482,0.043055,0.071917,0.134086,0.073984,0.099579,0.134824,0.120675,0.059987,0.131415,-0.065492,0.056186,0.13602,0.053716,0.310611,0.172977,0.048071,0.403871,0.177381,0.051625,0.328072,0.174889,0.061451,0.19989,0.166661,0.24756,0.547106,0.170329,0.347682,0.566892,0.168665,0.244584,0.548471,0.170991,0.150414,0.525955,0.17133
199,1.99,0.45315,0.84142,0.085652,0.42432,1.315741,-0.106996,0.451181,0.788146,0.134227,0.465045,0.667514,0.151923,0.472054,0.594278,0.163452,0.043031,0.071917,0.134121,0.073943,0.099598,0.134857,0.120661,0.060028,0.131558,-0.065509,0.056124,0.135949,0.05372,0.310618,0.172997,0.048067,0.403877,0.177409,0.051637,0.328078,0.174918,0.061458,0.199898,0.166663,0.247556,0.547112,0.170347,0.347675,0.56691,0.168688,0.244581,0.548472,0.171025,0.150411,0.525955,0.171328
200,2,0.453139,0.841409,0.085637,0.424274,1.315727,-0.107013,0.451189,0.788138,0.134216,0.465045,0.667504,0.151909,0.472049,0.594267,0.163437,0.043009,0.071874,0.134037,0.073929,0.099543,0.134823,0.120632,0.059968,0.131368,-0.065535,0.056111,0.135922,0.053731,0.310638,0.173036,0.048083,0.403899,0.177432,0.051645,0.328099,0.174951,0.061464,0.199917,0.166726,0.247565,0.547115,0.170337,0.347687,0.566899,0.168649,0.244591,0.548477,0.171011,0.150419,0.525969,0.171352
201,2.01,0.453126,0.841429,0.085659,0.424206,1.315758,-0.106957,0.451178,0.788153,0.134233,0.465053,0.667521,0.151918,0.472068,0.594284,0.163442,0.043032,0.071928,0.134121,0.073945,0.099606,0.134889,0.120659,0.06004,0.131482,-0.065508,0.056139,0.135992,0.053728,0.310645,0.17305,0.048081,0.403905,0.177458,0.051633,0.328106,0.174958,0.061471,0.199925,0.166735,0.247562,0.547132,0.170367,0.347682,0.566925,0.168713,0.244585,0.548502,0.171013,0.150418,0.525968,0.171375
202,2.02,0.453116,0.841442,0.085674,0.424144,1.315762,-0.106955,0.451193,0.78817,0.134253,0.465059,0.667536,0.151937,0.47207,0.594298,0.163461,0.043022,0.071923,0.134108,0.073932,0.099606,0.134847,0.120651,0.06004,0.131497,-0.065517,0.056123,0.135981,0.053733,0.310646,0.173059,0.048088,0.403906,0.177461,0.051649,0.328107,0.174977,0.06146,0.199925,0.16674,0.247568,0.547124,0.17035,0.34769,0.566906,0.168672,0.244593,0.548487,0.17102,0.150421,0.525979,0.171359
203,2.03,0.453113,0.841431,0.085688,0.424096,1.315772,-0.106884,0.451212,0.788155,0.134264,0.465069,0.667518,0.151929,0.472074,0.594278,0.163442,0.04302,0.071915,0.134142,0.073929,0.099599,0.134855,0.120651,0.060029,0.131606,-0.06552,0.056117,0.135966,0.053732,0.310645,0.173066,0.048086,0.403907,0.177446,0.05166,0.328107,0.174991,0.061451,0.199923,0.166761,0.247572,0.547134,0.170367,0.347697,0.566905,0.168684,0.244596,0.548503,0.171022,0.150424,0.525995,0.171397
204,2.04,0.453092,0.841407,0.085688,0.424067,1.315753,-0.10687,0.451197,0.788131,0.134263,0.46505,0.667492,0.151923,0.472054,0.594252,0.163434,0.043009,0.07187,0.13406,0.073927,0.099544,0.134814,0.120634,0.05997,0.131419,-0.065533,0.056096,0.135946,0.05373,0.310645,0.173072,0.048086,0.403905,0.177485,0.051655,0.328106,0.175,0.061447,0.199925,0.166732,0.247577,0.547116,0.170346,0.347699,0.566902,0.168688,0.244601,0.548482,0.171005,0.150431,0.525963,0.171345
205,2.05,0.453076,0.841433,0.085709,0.423994,1.31579,-0.106813,0.451182,0.788152,0.13428,0.465056,0.667515,0.151932,0.472072,0.594275,0.163438,0.043007,0.071914,0.134083,0.073928,0.099584,0.134849,0.12063,0.060007,0.131402,-0.065536,0.056153,0.135997,0.053729,0.310653,0.17308,0.048097,0.403914,0.177499,0.051638,0.328114,0.174991,0.061453,0.199932,0.16675,0.247561,0.54711,0.170337,0.347681,0.566902,0.168671,0.244586,0.548472,0.171011,0.150415,0.525957,0.171328
206,2.06,0.45307,0.841418,0.085711,0.42397,1.315795,-0.106759,0.451192,0.788134,0.134279,0.465054,0.667493,0.151914,0.472063,0.594251,0.163411,0.043004,0.071889,0.134053,0.073924,0.099562,0.134735,0.120628,0.059974,0.13143,-0.06554,0.056131,0.135993,0.05373,0.310663,0.173102,0.048087,0.403925,0.177482,0.05166,0.328124,0.175028,0.061443,0.19994,0.166797,0.247568,0.54712,0.170347,0.347688,0.566911,0.168672,0.244593,0.548482,0.17102,0.150422,0.525967,0.171348
207,2.07,0.453079,0.841424,0.085722,0.423974,1.315789,-0.106777,0.451187,0.788141,0.13429,0.465067,0.667503,0.151937,0.472087,0.594263,0.163439,0.043003,0.07191,0.134139,0.073925,0.099581,0.134779,0.120626,0.059984,0.131571,-0.065543,0.056164,0.136067,0.05374,0.310647,0.173077,0.048099,0.403908,0.177471,0.051665,0.328108,0.175001,0.061456,0.199925,0.166758,0.247572,0.54711,0.17034,0.347696,0.566877,0.168641,0.244598,0.548471,0.171018,0.150421,0.525982,0.17136
208,2.08,0.453078,0.841408,0.085711,0.423941,1.315776,-0.106775,0.451217,0.788127,0.134282,0.465073,0.667485,0.151919,0.472079,0.594243,0.163417,0.042978,0.071837,0.134057,0.073896,0.099511,0.134748,0.120602,0.059929,0.13143,-0.065565,0.056071,0.135994,0.053746,0.310654,0.173079,0.048103,0.403915,0.177462,0.051664,0.328115,0.174995,0.061471,0.199931,0.16678,0.247592,0.547144,0.170345,0.347706,0.566963,0.16864,0.244618,0.5485,0.171034,0.150451,0.525969,0.171359
209,2.09,0.453093,0.841422,0.085726,0.423921,1.315783,-0.106772,0.451245,0.788143,0.134301,0.4651,0.667502,0.151939,0.472105,0.59426,0.163438,0.042969,0.071794,0.134013,0.073882,0.099475,0.134679,0.120596,0.059897,0.131401,-0.065571,0.056009,0.135961,0.053754,0.310662,0.173101,0.048119,0.403923,0.177502,0.051675,0.328123,0.175021,0.061469,0.19994,0.16678,0.247596,0.547125,0.170351,0.34772,0.566897,0.168624,0.244623,0.548484,0.171036,0.150446,0.525994,0.171393
210,2.1,0.452982,0.841492,0.085744,0.423904,1.315873,-0.106718,0.45129,0.788233,0.134346,0.464927,0.667559,0.151935,0.471805,0.594302,0.163414,0.042995,0.071868,0.134147,0.0739,0.099556,0.134867,0.120627,0.059995,0.131579,-0.065542,0.056052,0.135994,0.053745,0.310682,0.173117,0.048099,0.403944,0.177493,0.051683,0.328144,0.175049,0.061455,0.199959,0.166809,0.247591,0.547116,0.170339,0.347715,0.566882,0.16862,0.244617,0.548477,0.17102,0.15044,0.52599,0.171378
211,2.11,0.453063,0.841414,0.085745,0.42391,1.315802,-0.106689,0.451267,0.788136,0.134323,0.465055,0.667482,0.151931,0.472021,0.594234,0.163415,0.042992,0.071847,0.134135,0.073908,0.099521,0.134931,0.120619,0.059952,0.131518,-0.065551,0.056068,0.135954,0.053748,0.310693,0.173139,0.0481,0.403955,0.177497,0.051691,0.328155,0.175073,0.061455,0.199969,0.166848,0.247597,0.547119,0.17034,0.347721,0.566889,0.168639,0.244623,0.548481,0.171015,0.150447,0.525987,0.171367
212,2.12,0.453094,0.841393,0.085753,0.423906,1.31578,-0.106677,0.451276,0.788111,0.134326,0.465103,0.667463,0.15194,0.472093,0.594217,0.163426,0.042982,0.071819,0.134081,0.073898,0.099491,0.134934,0.120606,0.059932,0.131367,-0.06556,0.056033,0.135942,0.053756,0.310681,0.173127,0.04813,0.403943,0.177506,0.051677,0.328142,0.175042,0.061462,0.199956,0.166834,0.247599,0.54712,0.170339,0.347721,0.566897,0.168638,0.244624,0.548483,0.17101,0.150451,0.525979,0.17137
213,2.13,0.453098,0.841389,0.085747,0.423923,1.315779,-0.106681,0.451277,0.788107,0.134319,0.465102,0.667459,0.151932,0.47209,0.594213,0.163417,0.042968,0.071838,0.134051,0.073879,0.099517,0.134864,0.120595,0.059962,0.131367,-0.065571,0.056035,0.135922,0.053764,0.310676,0.173152,0.048143,0.40394,0.177508,0.05169,0.328139,0.175067,0.061458,0.19995,0.166882,0.247607,0.547123,0.170337,0.347731,0.566893,0.168643,0.244632,0.548488,0.171003,0.150458,0.525987,0.171364
214,2.14,0.453007,0.841458,0.085741,0.423968,1.315839,-0.106728,0.451308,0.7882,0.134344,0.464939,0.667526,0.151935,0.471813,0.594268,0.163415,0.042973,0.071868,0.13412,0.07388,0.099553,0.134881,0.120604,0.059993,0.131544,-0.065566,0.056057,0.135935,0.05377,0.310675,0.17315,0.048136,0.403939,0.177492,0.051708,0.328137,0.175074,0.061465,0.199948,0.166883,0.247608,0.547118,0.170352,0.347735,0.566872,0.168638,0.244634,0.548485,0.171015,0.150456,0.525997,0.171405
215,2.15,0.452993,0.841447,0.085742,0.42398,1.315845,-0.10669,0.451334,0.788191,0.134347,0.464909,0.667508,0.15192,0.47175,0.594246,0.16339,0.042955,0.071814,0.134104,0.073852,0.099514,0.134726,0.120592,0.059953,0.131635,-0.065578,0.055974,0.13595,0.053779,0.31068,0.173151,0.048144,0.403943,0.177509,0.051718,0.328142,0.17508,0.061475,0.199954,0.166866,0.247611,0.547104,0.170345,0.347735,0.566874,0.168637,0.244638,0.548463,0.171029,0.150461,0.525974,0.171368
216,2.16,0.453002,0.841441,0.08575,0.424008,1.315827,-0.106715,0.451353,0.78819,0.134361,0.464909,0.667506,0.151939,0.471739,0.594243,0.163413,0.042972,0.071857,0.134169,0.07388,0.099542,0.134919,0.120603,0.059979,0.131595,-0.065567,0.056051,0.135994,0.053779,0.310673,0.17315,0.048153,0.403936,0.177532,0.05171,0.328135,0.175074,0.061475,0.199949,0.166844,0.24762,0.547102,0.170353,0.347744,0.566872,0.168644,0.244646,0.548462,0.171035,0.150469,0.525972,0.17138
217,2.17,0.453025,0.841416,0.085736,0.424037,1.315821,-0.106683,0.451372,0.78816,0.134341,0.464929,0.667474,0.151908,0.471761,0.594211,0.163376,0.042947,0.071811,0.134112,0.073842,0.099513,0.134741,0.120585,0.059953,0.131664,-0.065587,0.055968,0.135932,0.05379,0.310696,0.173211,0.048168,0.40396,0.177576,0.051714,0.328159,0.175125,0.061488,0.199971,0.166933,0.247637,0.547122,0.170425,0.347759,0.566911,0.168829,0.244658,0.548497,0.171054,0.150493,0.525958,0.171392
218,2.18,0.453026,0.841437,0.085774,0.42404,1.315845,-0.106637,0.45136,0.788177,0.134377,0.464931,0.667494,0.151945,0.47177,0.594231,0.163412,0.042953,0.07181,0.134145,0.073855,0.099504,0.134806,0.120588,0.05994,0.131649,-0.065583,0.055988,0.13598,0.0538,0.3107,0.17322,0.048178,0.403962,0.177616,0.051719,0.328161,0.175135,0.061503,0.199976,0.166908,0.247625,0.547111,0.170403,0.347753,0.566865,0.168711,0.24465,0.548479,0.171061,0.150473,0.525988,0.171436
